title,url,price,location,year,mileage
"BMW serija 3, 2022g.,automatik, siber, servis napravljen 04.07.",https://www.njuskalo.hr/auti/bmw-serija-3-2022g-automatik-siber-oglas-50794303,28.790 €,"Đurmanec, Gornji Macelj",2022,130.000 km
"BMW 318d SPORT, AUTOMATIK, KOŽA, LED, NAVIGACIJA, REG.03/2027 G20",https://www.njuskalo.hr/auti/bmw-serija-3-318d-oglas-46526915,22.000 €,"Koprivnica, Taraščice",2020,163.000 km
"BMW serija 3 318d servis,reg 1 godinu,očuvan,kao nov!",https://www.njuskalo.hr/auti/bmw-serija-3-318d-servis-reg-1-godinu-ocuvan-kao-nov-oglas-50345044,28.500 €,"Ivanec, Ivanec",2022,119.360 km
"BMW 320d 2022.G20 Sport, Led Laser, Šiber, Ambient light, 57 t.km",https://www.njuskalo.hr/auti/bmw-serija-3-320d-oglas-49346676,32.800 €,"Čakovec, Centar",2022,57.500 km
"BMW serija 3 318d AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-led-navigacija-kamera-oglas-50812195,31.500 €,,2023,80.520 km
BMW serija 3 318d automatik***MOGUCNOST LEASINGA*** vozilo u pdv-u,https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-mogucnost-leasinga-oglas-49403056,24.999 €,"Bilje, Bilje",2021,152.000 km
"BMW 330e G20 M-sport, Laser, 360°,LEASING,Xtraboost",https://www.njuskalo.hr/auti/bmw-serija-3-330e-automatik-oglas-50516212,29.999 €,"Metković, Metković",2020,154.000 km
"BMW 320d,190 KS,AUTOMATIC,NOVI SERVIS,KAO NOV-  A K C I J A",https://www.njuskalo.hr/auti/bmw-serija-3-320d-190-ks-automatic-reg-1-god-oglas-38898278,29.000 €,"Tuhelj, Tuheljske Toplice",2020,67.000 km
BMW serija 3 316d LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/bmw-serija-3-316d-leasing-bez-ucesca-bez-jamaca-oglas-51080363,24.900 €,"Dugo Selo, Dugo Selo - Centar",2021,130.000 km
BMW serija 3 320d G20 m paket automatik,https://www.njuskalo.hr/auti/bmw-serija-3-320d-g20-m-paket-automatik-oglas-51003358,29.900 €,"Split - Okolica, Kamen",2020,179.000 km
BMW serija 3 320d LEASING BEZ UČEŠĆA I BEZ JAMACA,https://www.njuskalo.hr/auti/bmw-serija-3-320d-leasing-bez-ucesca-bez-jamaca-oglas-51080027,43.900 €,"Dugo Selo, Dugo Selo - Centar",2023,17.000 km
BMW serija 3 320d automatik,https://www.njuskalo.hr/auti/bmw-serija-3-320d-automatik-oglas-51079472,39.000 €,"Sveta Nedelja, Orešje",2022,142.000 km
BMW serija 3 M paket ⛔️u sustavu PDV-a⛔️LEASING...⛔️,https://www.njuskalo.hr/auti/bmw-serija-3-318d-sag8-m-paket-oglas-45902284,43.000 €,"Split, Dujmovača",2024,16.750 km
"BMW SERIJA 3 318D, AUTOMATIK,FULL LED,NAVI,AMBI,GR.SJED,JAMSTVO!",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-full-led-navi-ambi-gr-sjed-jamstvo-oglas-51078435,24.500 €,"Sisak - Okolica, Greda",2021,118.561 km
"BMW serija 3, Automatic, diesel, 1. vlasnik, koža, bez PDV",https://www.njuskalo.hr/auti/bmw-serija-3-316d-oglas-50586573,18.600 €,"Donji Grad, Donji grad",2020,91.000 km
"BMW  318d automatik, m paket",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-oglas-50896851,29.500 €,"Ozalj, Trg",2021,130.257 km
BMW serija 3 320e Aut.,https://www.njuskalo.hr/auti/bmw-serija-3-320e-aut-oglas-49795867,33.900 €,"Čakovec, Globetka",2023,85.751 km
BMW serija 3 316d automatik-LEASING BEZ UČEŠĆA!,https://www.njuskalo.hr/auti/bmw-serija-3-316d-automatik-oglas-48968459,30.900 €,"Čakovec, Globetka",2022,68.685 km
BMW serija 3 G20 330D xDrive Laser,https://www.njuskalo.hr/auti/bmw-serija-3-330xdrive-laser-oglas-46182801,24.500 €,"Split - Okolica, Stobreč",2020,260 km
BMW serija 3 320d xDrive M paket,https://www.njuskalo.hr/auti/bmw-serija-3-320d-xdrive-m-paket-oglas-51074608,44.000 €,"Trnje, Trnje",2023,43.000 km
"BMW serija 3 320d X DRIVE **M PAKET,FULL,GAR.GOD DANA **",https://www.njuskalo.hr/auti/bmw-serija-3-320d-x-drive-m-paket-full-gar-god-dana-oglas-50730259,30.900 €,"Sesvete, Novi Jelkovec",2021,158.000 km
"BMW serija 3 318d automatik M-paket, Registriran",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-m-paket-navi-head-up-registriran-oglas-48596979,33.500 €,"Osijek, Cvjetno naselje",2022,201.000 km
BMW serija 3 318d,https://www.njuskalo.hr/auti/bmw-serija-3-318d-oglas-51004534,31.000 €,"Podsused - Vrapče, Susedgrad",2021,113.500 km
"BMW Serija 3 AUTOMATIK,JAMSTVO,LIVE COCKPIT,KAMERA,RADAR,NAVI,U PDV-U!",https://www.njuskalo.hr/auti/bmw-serija-3-automatik-virtual-navi-kamera-1-vl-servisna-pdv-oglas-50667397,19.990 €,"Podsljeme, Štefanovec",2021,187.000 km
"BMW 318d AUTOMATIK,JAMSTVO,FACELIFT,LIVE COCKPIT,RADAR,LED,U PDV-U!",https://www.njuskalo.hr/auti/bmw-serija-3-318d-automatik-facelift-led-navi-alu-1-vl-pdv-oglas-50669334,26.990 €,"Podsljeme, Štefanovec",2023,133.000 km
