title,url,price,location,year,mileage
"BMW X1 20d xDrive X Line AUTOMATIK *PANORAMA,LED,NAVIGACIJA,KAMERA*",https://www.njuskalo.hr/auti/bmw-x1-20d-xdrive-x-line-automatik-panorama-led-navigacija-kamera-oglas-50586935,28.800 €,,2022,99.857 km
"BMW X1 xDrive25e NAVI • AUTOMATIK • 31.000KM • ALU 18"" • LEASING",https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-oglas-51052685,28.900 €,"Osijek, Industrijska četvrt",2022,31.764 km
BMW  X1 sDrive20d Business Advantage Aut.,https://www.njuskalo.hr/auti/bmw-x1-sdrive20d-business-advantage-aut-oglas-50511966,28.900 €,"Novi Zagreb - Istok, Dugave",2022,47.300 km
BMW X1 xDrive20d automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-automatik-oglas-50984138,29.000 €,"Trešnjevka - Jug, Jarun",2019,54.370 km
"BMW X1 18d, 150KS, AUTOMATIK, REG, 1. VLASNIK, LED, NAVI, KAMERA, SERV",https://www.njuskalo.hr/auti/bmw-x1-18d-150ks-automatik-reg-1-vlasnik-led-navi-kamera-serv-oglas-51012326,29.400 €,"Gornji Kneginec, Lužan Biškupečki",2022,62.000 km
BMW X1 xDrive25e m-sport automatic,https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-m-sport-automatic-oglas-50268123,29.500 €,"Opatija - Okolica, Oprić",2021,43.000 km
BMW X1 xDrive XLine sport 20d automatik,https://www.njuskalo.hr/auti/bmw-x1-xdrive-20d-automatik-oglas-50706426,29.500 €,"Donja Stubica, Donja Stubica",2022,84.000 km
BMW X1 xDrive25e M Sport | LED | NAVI | HEAD-UP,https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-m-sport-led-navi-head-up-oglas-50283508,29.580 €,Njemačka,2021,80.834 km
BMW X1 xDrive25e M SPORT,https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-m-sport-oglas-49568404,29.900 €,"Buje, Kaštel",2021,73.000 km
BMW X1 sDrive18d Advantage Aut.-LEASING BEZ UČEŠĆA!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-advantage-aut-oglas-47346757,29.950 €,"Čakovec, Globetka",2022,58.798 km
"BMW X1 xDrive25e xLine Aut.,M-PAKET, 53500 km,GARANCIJA!",https://www.njuskalo.hr/auti/bmw-x1-xdrive25e-xline-aut-m-paket-53500-km-garancija-oglas-50417762,29.990 €,,2020,53.580 km
BMW X1 sDrive18d Xline/Ambij.Svje/Navi/LED/Kamera/P.senz.€30.790,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-xline4x4-aut-navi-led-kamera-p-senz-30.790-reg-oglas-49849194,30.790 €,Njemačka,2020,76.125 km
BMW X1 sDrive18d Advantage automatik-LEASING BEZ UČEŠĆA!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-advantage-automatik-oglas-38362361,31.500 €,"Čakovec, Globetka",2022,64.989 km
"BMW X1 sDrive18d xLine,LED,kuka,navig,el.sjed.p.senz€31.890 do reg.!",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-xline-led-kuka-navig-el-sjed-p-senz-31.890-reg-oglas-46745920,31.890 €,Njemačka,2021,54.991 km
"BMW X1 sDrive18d M Sport, 1. vlasnik, automatik",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-m-sport-1-vlasnik-automatik-oglas-51036105,31.900 €,"Zadar, Crvene kuće",2022,68.594 km
BMW X1 sDrive18i AUTOMATIK °VIRTUAL°NAVI°KAMERA°LEASING BEZ UČEŠĆA°,https://www.njuskalo.hr/auti/bmw-x1-sdrive18i-automatik-virtual-navi-kamera-leasing-bez-ucesca-oglas-50635236,32.490 €,"Sesvete, Sesvete",2023,88.000 km
BMW X1 sDrive18 - M SPORT - 2020 GOD - LED - HEAD UP - TOP!,https://www.njuskalo.hr/auti/bmw-x1-sdrive18-m-sport-2020-god-led-head-up-top-oglas-45925354,32.900 €,"Varaždin, Centar",2020,67.000 km
BMW X1 sDrive18d Automatik * Nije uvoz * Prvi vlasnik *,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-50859947,33.850 €,"Trnje, Trnje",2023,83.800 km
BMW X1 sDrive18d  AUTOMATIK,https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-50778091,33.990 €,"Stenjevec, Špansko",2023,90.000 km
BMW X1 2024 • PREMIUM jamstvo • AutoZubak Rabljena,https://www.njuskalo.hr/auti/bmw-x1-2024-premium-jamstvo-autozubak-rabljena-oglas-50914422,33.997 €,,2024,62.854 km
"BMW X1 sDrive18d automatik NOVI MODEL,",https://www.njuskalo.hr/auti/bmw-x1-sdrive18d-automatik-oglas-50809773,34.700 €,"Trešnjevka - Sjever, Rudeš",2024,62.227 km
BMW X1 xDrive20d automatik NOVI MODEL,https://www.njuskalo.hr/auti/bmw-x1-xdrive20d-automatik-oglas-50933701,34.900 €,"Peščenica - Žitnjak, Žitnjak",2022,97.000 km
"BMW X1 18d AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/bmw-x1-18d-automatik-led-navigacija-kamera-oglas-50071833,34.900 €,,2024,60.624 km
