title,url,price,location,year,mileage
Porsche Macan (PORSCHE APPROVED JAMSTVO),https://www.njuskalo.hr/auti/porsche-macan-porsche-approved-jamstvo-oglas-50472651,47.900 €,"Stenjevec, Jankomir",2017,70.198 km
Porsche Macan * RJEŠAVAMO LEASING* 2 G. GARANCIJA*,https://www.njuskalo.hr/auti/porsche-macan-rjesavamo-leasing-2-g-garancija-oglas-50406585,63.990 €,Njemačka Objavljen: 21.04.2026.,2024,58.581 km
Porsche Macan 4x4 *40 g.uvozimo osobna i teretna vozila po želji*,https://www.njuskalo.hr/auti/porsche-macan-4x4-40-g-uvozimo-osobna-teretna-vozila-zelji-oglas-50247454,48.999 €,Njemačka,2022,67.745 km
"Porsche Macan 3,0 V6 PDK S BiXenon navi koža BOSE gr.sj.x4 hl.sj šiber",https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-bixenon-navi-koza-bose-gr-sj-x4-hl-sj-siber-oglas-49946256,37.990 €,Njemačka,2016,61.000 km
"Porsche Macan 3,6 V6 PDK S BiXenon navi koža gr.sj.x4 PDCx2 kam360",https://www.njuskalo.hr/auti/porsche-macan-3.6-v6-pdk-bixenon-navi-koza-gr-sj-x4-pdcx2-kam360-oglas-49946030,36.960 €,Njemačka,2015,136.000 km
"Porsche Macan 3,0 V6 PDK S Xenon navi koža PDCX2 kamera gr.sj.x4",https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-xenon-navi-koza-pdcx2-kamera-gr-sj-x4-oglas-49945926,35.890 €,Njemačka,2016,101.000 km
"Porsche Macan 3,0 V6 PDK Sport Chrono LED navi koža gr.sj.x4 hl.sj kam",https://www.njuskalo.hr/auti/porsche-macan-3.0-v6-pdk-sport-chrono-led-navi-koza-gr-sj-x4-hl-sj-kam-oglas-49945844,31.690 €,Njemačka,2015,147.000 km
Porsche Macan S (PORSCHE APPROVED JAMSTVO),https://www.njuskalo.hr/auti/porsche-macan-porsche-approved-jamstvo-oglas-49848057,87.900 €,"Rijeka, Škurinje Objavljen: 20.02.2026.",2022,65.702 km
Porsche Macan S *40 g.uvozimo osobna i teretna vozila po želji*,https://www.njuskalo.hr/auti/porsche-macan-40-g-uvozimo-osobna-teretna-vozila-zelji-oglas-49788664,47.500 €,Njemačka,2021,79.000 km
Porsche Macan | 265KS | LED | NAVIGACIJA | KAMERA | KOŽA,https://www.njuskalo.hr/auti/porsche-macan-265ks-led-navigacija-kamera-koza-oglas-49777701,65.990 €,Njemačka Objavljen: 11.02.2026.,2023,90.000 km
Porsche Macan S | 380KS | LED | NAVI | PANORAMA | GRIJANJE SJEDALA,https://www.njuskalo.hr/auti/porsche-macan-380ks-led-navi-panorama-grijanje-sjedala-oglas-49777276,72.990 €,Njemačka Objavljen: 11.02.2026.,2022,95.000 km
Porsche Macan S | 380KS | LED | NAVI | PANORAMA | KAMERA,https://www.njuskalo.hr/auti/porsche-macan-380ks-led-navi-panorama-kamera-oglas-49777147,76.250 €,Njemačka Objavljen: 11.02.2026.,2022,73.349 km
Porsche Macan S | 354KS | LED | NAVI | KAMERA | KOŽA | ACC,https://www.njuskalo.hr/auti/porsche-macan-354ks-led-navi-kamera-koza-acc-oglas-49776181,44.350 €,Njemačka,2019,117.000 km
Porsche Macan GTS 3.0 V6 | 360KS | LED | NAVI | 360KAM | GRIJANJE SJ.,https://www.njuskalo.hr/auti/porsche-macan-gts-3.0-v6-360ks-led-navi-360kam-grijanje-sj-oglas-49723785,44.150 €,Njemačka,2018,148.500 km
Porsche Macan | 250KS | LED | NAVI | KOŽA | PANORAMA,https://www.njuskalo.hr/auti/porsche-macan-250ks-led-navi-koza-panorama-oglas-49723714,39.650 €,Njemačka,2018,140.000 km
PORSCHE MACAN III /PDV /NAJAM ili PRODAJA /rata 768 €,https://www.njuskalo.hr/auti/porsche-macan-iii-pdv-hr-auto-rata-783-oglas-48016888,69.900 €,"Velika Gorica - Okolica, Selnica Ščitarjevska Objavljen: 20.11.2025.",2022,83.023 km
PORSCHE MACAN III /PDV /NAJAM ili PRODAJA /rata 813 €,https://www.njuskalo.hr/auti/porsche-macan-2.0t-oglas-48009903,73.900 €,"Velika Gorica - Okolica, Selnica Ščitarjevska Objavljen: 20.11.2025.",2023,42.982 km
Porsche Macan 4 | 408KS | ZRAČNI OVJES | PANO | KOŽA | MEMO | BOSE,https://www.njuskalo.hr/auti/porsche-macan-4-408ks-zracni-ovjes-pano-koza-memo-bose-oglas-47452254,105.750 €,Njemačka Objavljen: 02.07.2025.,2025,3.300 km
Porsche Macan | 360KS | BOSE | PANORAMA | KAMERA | NAVI | MATRIX,https://www.njuskalo.hr/auti/porsche-macan-360ks-bose-panorama-kamera-navi-matrix-oglas-47451880,91.890 €,Njemačka Objavljen: 02.07.2025.,2025,9.999 km
