title,url,price,location,year,mileage
"Hyundai Tucson 1.6 CRDi AUTOMATIK,KAMERA,RADAR,BLIND SPOT,NAVI,U PDV-U",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-136-dct-7-navi-led-kamera-pdv-oglas-49188067,20.990 €,"Podsljeme, Štefanovec",2022,134.000 km
"Hyundai Tucson 1,6 CRDi hibrid 48 v",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-hibrid-48-v-oglas-50987585,21.400 €,"Mursko Središće, Mursko Središće",2020,103.000 km
"Hyundai Tucson 1,6T N LINE - U SUSTAVU PDV-a",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-oglas-50672489,28.500 €,"Split, Mejaši",2022,70.000 km
Hyundai Tucson PHEV 4WD Luxury N-Line,https://www.njuskalo.hr/auti/hyundai-tucson-phev-4wd-premium-plus-n-line-oglas-50304484,35.800 €,"Split, Sirobuja",2024,45.000 km
"Hyundai Tucson 1,6 AUT. 230 KS, HIBRID, U PDV-U, JAMSTVO",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-aut-230-ks-hibrid-pdv-jamstvo-oglas-51057143,25.749 €,"Peščenica - Žitnjak, Žitnjak",2023,79.500 km
"⭐️Hyundai Tucson 1,6T Hybrid●Premium+●Automatik●HR AUTO●Leasing",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-automatik-oglas-50696471,32.500 €,"Osijek, Industrijska zona (Čepinska)",2025,
Hyundai Tucson Hybrid 1.6T 239HP 2WD 6AT PREMIUM + HYBRID PAKET,https://www.njuskalo.hr/auti/hyundai-tucson-hybrid-1.6t-239hp-2wd-6at-premium-hybrid-paket-oglas-51052809,34.600 €,"Velika Gorica - Okolica, Staro Čiće",2026,
"Hyundai Tucson 1,6T LEASING BEZ UČEŠĆA I BEZ JAMACA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-leasing-bez-ucesca-bez-jamaca-oglas-51052203,24.999 €,"Peščenica - Žitnjak, Peščenica",2022,85.826 km
"Hyundai Tucson 1,6 CRDi automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50943387,19.900 €,"Sisak, Zeleni brijeg",2023,153.000 km
Hyundai Tucson 1.6 TGDI Automatik,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-tgdi-automatik-oglas-50881924,23.400 €,"Čakovec, Jug",2023,98.000 km
Hyundai Tucson 1.6 T-GDi 160 automatik / SLUŽBENO VOZILO,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-t-gdi-160-automatik-sluzbeno-vozilo-oglas-51034777,32.500 €,"Osijek, Industrijska zona (Čepinska)",2025,22.000 km
Hyundai Tucson 1.6 T-GDi 160 automatik / SLUŽBENO VOZILO,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-t-gdi-160-automatik-sluzbeno-vozilo-oglas-51034722,31.500 €,"Osijek, Industrijska zona (Čepinska)",2025,35.500 km
"Hyundai Tucson 1,6 CRDi 136ks | Navi | Park | Alu 18 + Alu 17 | Temp",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-mhev-oglas-50394752,19.000 €,"Beli Manastir, Beli Manastir",2020,115.000 km
"Hyundai Tucson 1,6 CRDi-Kamere 360°-Grij+Hlađenje sjedala-Head up-PDV",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-kamere-360-grij-hladenje-sjedala-head-up-pdv-oglas-50268505,38.900 €,"Novi Zagreb - Zapad, Lanište",2024,16.422 km
"Hyundai Tucson 1.6 T-GDI 132 kW HYB. LED, Automatik, Jamstvo",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-oglas-51025726,24.999 €,"Peščenica - Žitnjak, Peščenica",2022,85.826 km
"Hyundai Tucson 1,6 CRDi 48V 4x4 2021",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-4x4-2021-oglas-50576631,24.200 €,"Varaždinske Toplice, Jalševec Svibovečki",2021,90.000 km
"Hyundai Tucson 1,6 CRDi Premium Plus, Prvi vlasnik, Servisna!",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-premium-plus-prvi-vlasnik-servisna-oglas-50071273,21.000 €,"Trnje, Trnje",2021,145.500 km
"HYUNDAI TUCSON 1,6 AWD 132 KW** N-LINE PAKET** PANORAMA** NOVO!**",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-awd-132-kw-n-line-paket-panorama-oglas-50697670,41.990 €,"Varaždin - Okolica, Jalkovec",2026,5 km
"Hyundai Tucson 1.6 CRDi AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-led-navigacija-kamera-oglas-50855818,22.900 €,,2021,54.832 km
"HYUNDAI TUCSON 1,6 CRDI AUT. 1 GODINA JAMSTVA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-aut-1-godina-jamstva-oglas-50139943,20.900 €,"Osijek, Cvjetno naselje",2021,96.845 km
Hyundai TUCSON HEV 239KS 2WD 6AT PREMIUM+ HYBRID *POPUST 1.000 EUR !!*,https://www.njuskalo.hr/auti/hyundai-tucson-hev-239ks-2wd-6at-premium-hybrid-popust-1.000-eur-oglas-50816129,"36.797,50 €","Matulji, Mučići",2025,
"Hyundai Tucson 1,6 CRDi 48V PREMIUM PLUS cijena s PDV-om 4WD HTRAC",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-premium-plus-oglas-49882787,28.500 €,"Gornja Dubrava, Trnovčica",2021,66.000 km
"Hyundai Tucson 1.6 CRDi AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-led-navigacija-kamera-oglas-50418043,23.500 €,,2021,43.084 km
"Hyundai Tucson 1.6 CRDi AUTOMATIK *LED, NAVIGACIJA, KAMERA*",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-led-navigacija-kamera-oglas-47474752,24.700 €,,2021,69.852 km
Hyundai TUCSON NX4 FL 1.6T 160 7DCT 2WD 48V PREMIUM PLUS N LINE,https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-automatik-oglas-50730852,33.000 €,"Pula, Šijana",2025,31.000 km
Hyundai Tucson 1.6T Hybrid Premium Plus 4x4,https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-hybrid-premium-plus-4x4-oglas-50948040,32.900 €,"Čakovec, Globetka",2023,74.500 km
Hyundai Tucson NX4 1.6 CRDI DCT N-line,https://www.njuskalo.hr/auti/rabljeno-vozilo-hyundai-tucson-nx4-1.6-crdi-dct-n-line-diesel-oglas-50944928,23.790 €,"Stenjevec, Jankomir",2021,101.145 km
"Hyundai Tucson 1,6 CRDi automatik",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-oglas-50886060,21.500 €,"Rovinj, Rovinj",2021,114.500 km
Hyundai Tucson 1.6 T-GDi 48V Mild Hybrid Premium 7DCT | 55.000 km,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-t-gdi-48v-mild-hybrid-premium-7dct-55.000-km-oglas-50929130,26.500 €,"Varaždin, Hallers",2022,55.000 km
"Hyundai Tucson 1,6 CRDi - AUTOMATIK, PANORAMA, REGISTRIRAN",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-panorama-registriran-oglas-48946368,19.900 €,"Osijek - Okolica, Josipovac",2020,132.000 km
Hyundai Tucson NX4 1.6 T HEV Automatic 230,https://www.njuskalo.hr/auti/rabljeno-vozilo-hyundai-tucson-nx4-1.6-t-hev-automatic-230-benzin-oglas-50785201,28.900 €,"Stenjevec, Jankomir",2022,97.690 km
"Hyundai Tucson NX4 N Line 1.6 T-GDi 150 7DCT 2WD 48V Limited Edition,",https://www.njuskalo.hr/auti/hyundai-tucson-nx4-n-line-1.6-t-gdi-150-7dct-2wd-48v-limited-edition-oglas-50744403,30.000 €,"Osijek, Gornji grad / Centar",2021,53.527 km
"Rabljeno vozilo Hyundai Tucson NX4 1.6 CRDI DCT, Diesel",https://www.njuskalo.hr/auti/rabljeno-vozilo-hyundai-tucson-nx4-1.6-crdi-dct-diesel-oglas-50735670,24.310 €,"Stenjevec, Jankomir",2022,86.026 km
Hyundai Tucson 1.6 CRDI DCT N-line,https://www.njuskalo.hr/auti/rabljeno-vozilo-hyundai-tucson-1.6-crdi-dct-n-line-diesel-oglas-50689192,21.590 €,"Stenjevec, Jankomir",2020,114.270 km
Hyundai  TUCSON NX4 FL 1.6T 160 7DCT 2WD 48V LUXURY N LINE,https://www.njuskalo.hr/auti/hyundai-tucson-nx4-fl-1.6t-160-7dct-2wd-48v-luxury-n-line-oglas-50285332,41.490 €,"Pula, Šijana",2025,
Hyundai TUCSON NX4 FL 1.6T 160 7DCT 2WD 48V PREMIUM,https://www.njuskalo.hr/auti/hyundai-tucson-nx4-fl-1.6t-160-7dct-2wd-48v-premium-oglas-50640886,28.990 €,"Pula, Šijana",2024,17.000 km
"Hyundai Tucson 1,6T 7DCT Limited N line ***REG. GODINU DANA***",https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-7dct-limited-n-line-oglas-44862223,22.000 €,"Slavonski Brod, Budainka",2022,150.000 km
"Rabljeno vozilo Hyundai Tucson NX4 1.6 T HEV Automatic 230, Benzin, Ak",https://www.njuskalo.hr/auti/rabljeno-vozilo-hyundai-tucson-nx4-1.6-t-hev-automatic-230-benzin-oglas-50529318,22.300 €,"Stenjevec, Jankomir",2022,173.777 km
Hyundai TUCSON 1.6T 150 7DCT 2WD PREMIUM PLUS N LINE automatik,https://www.njuskalo.hr/auti/hyundai-tucson-1.6t-150-7dct-2wd-premium-plus-n-line-automatik-oglas-50462521,37.600 €,"Velika Gorica - Okolica, Staro Čiće",2025,
Hyundai Tucson NX4 1.6 CRDI DCT 4x4,https://www.njuskalo.hr/auti/hyundai-tucson-nx4-1.6-crdi-dct-4x4-28.200.01-oglas-49344334,26.900 €,"Stenjevec, Jankomir",2024,30.000 km
"Rabljeno vozilo Hyundai Tucson 1.6 CRDI DCT N-line, Diesel, Akcija",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-dct-n-line-22.900.00-oglas-47936890,20.800 €,"Stenjevec, Jankomir",2020,92.272 km
Hyundai Tucson NX4 1.6 CRDI DCT 4x4,https://www.njuskalo.hr/auti/hyundai-tucson-nx4-1.6-crdi-dct-4x4-30.500.01-oglas-49320840,28.500 €,"Stenjevec, Jankomir",2024,35.000 km
Hyundai Tucson NX4 1.6 T DCT,https://www.njuskalo.hr/auti/hyundai-tucson-nx4-1.6-t-dct-26.800.01-oglas-49202517,26.800 €,"Stenjevec, Jankomir",2024,13.828 km
