title,url,price,location,year,mileage
"Hyundai Tucson 1,6 CRDi*SAMO 15.000km*ODLIČNO STANJE*",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-samo-15.000km-odlicno-stanje-oglas-49946944,23.999 €,"Podsused - Vrapče, Goljak",2022,14.890 km
"Hyundai Tucson 1.6 T-GDI 4x4,130kw,1.vl.,NAVI,TEMP.,GRIJ.-VENT.SJEDALA",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-t-gdi-4x4.130kw-1-vl-navi-temp-grij-hlad-sjedala-oglas-51029087,14.999 €,"Maruševec, Kapelec",2015,145.000 km
Hyundai Tucson 1.6 CRDI N-LINE automatik...NAVIGACIJA...KAMERA...ALU..,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-n-line-automatik-navigacija-kamera-alu-oglas-51077479,19.650 €,"Osijek - Okolica, Tenja",2019,98.700 km
"Hyundai Tucson 1,6 CRDi I Navi I Park. kamera I",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-navi-park-kamera-oglas-47044175,17.999 €,"Osijek, Retfala",2019,100.262 km
HYUNDAI TUCSON 1.6 CRDi 4WD AUTOMATIK LEVEL 3 PLUS - ***TOP STANJE***,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-4wd-automatik-level-3-plus-top-stanje-oglas-50607990,20.950 €,"Koprivnica, Podolice",2020,78.000 km
"Hyundai Tucson 1,6 CRDi Creative/Dct7/Led/Nav/Leasing/Jamstvo",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-creative-dct7-led-nav-leasing-jamstvo-oglas-50852266,21.800 €,"Vinkovci, Centar",2023,121.355 km
"Hyundai Tucson 1,6 CRDi 48V Premium Plus DCT",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-48v-premium-plus-dct-oglas-50945951,27.900 €,"Čakovec, Globetka",2024,32.712 km
"Hyundai Tucson 1,6 CRDi",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50517700,21.900 €,"Peščenica - Žitnjak, Žitnjak",2021,114.000 km
Hyundai Tucson 1.7 CRDi  104000 km,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-oglas-50962647,14.900 €,"Peščenica - Žitnjak, Žitnjak",2016,104.000 km
"Hyundai Tucson 1,6 CRDi Style Navi 102000 km",https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-oglas-50651337,21.900 €,"Peščenica - Žitnjak, Žitnjak",2022,102.000 km
Hyundai Tucson 1.7 CRDi | Prvi vlasnik | NAVI | Kamera | Odličan!,https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-prvi-vlasnik-navi-kamera-odlican-oglas-51014344,15.799 €,"Trnovec Bartolovečki, Trnovec",2016,120.000 km
Hyundai Tucson 1.6 CRDI Automatik Hybrid 48V Business VIRTUAL COCKPIT,https://www.njuskalo.hr/auti/hyundai-tucson-1.6-crdi-automatik-hybrid-48v-business-virtual-cockpit-oglas-49379993,22.990 €,"Stenjevec, Jankomir",2021,124.360 km
"Hyundai Tucson 1,7 CRDi CREATIVE NAVI KAMERA KEYLESS *GARANCIJA**",https://www.njuskalo.hr/auti/hyundai-tucson-1.7-crdi-creative-navi-kamera-keyless-dolasku-oglas-50814647,14.499 €,"Sesvete, Sesvete",2017,160.000 km
